articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
11-11-2014,6.07,6.07,mean,0,MATCH,NA
11-11-2014,1.99,2,sd,0.5025125628140708,MINOR_ERROR,NA
11-11-2014,1.67,1.67,mean,0,MATCH,NA
11-11-2014,0.92,0.92,sd,0,MATCH,NA
11-11-2014,52,52,df,0,MATCH,NA
11-11-2014,10.41,10.41,t,0,MATCH,NA
11-11-2014,<.001,2.553983567261429e-14,p,NA,MATCH,TRUE
11-11-2014,6,6,mean,0,MATCH,NA
11-11-2014,1.96,1.96,sd,0,MATCH,NA
11-11-2014,1.74,1.74,mean,0,MATCH,NA
11-11-2014,1.19,1.2,sd,0.8403361344537823,MINOR_ERROR,NA
11-11-2014,52,52,df,0,MATCH,NA
11-11-2014,9.63,9.63,t,0,MATCH,NA
11-11-2014,0.001,0,p,100,MAJOR_ERROR,NA
11-11-2014,3.05,3.05,mean,0,MATCH,NA
11-11-2014,0.82,0.82,sd,0,MATCH,NA
11-11-2014,2.8,2.8,mean,0,MATCH,NA
11-11-2014,0.83,0.83,sd,0,MATCH,NA
11-11-2014,52,52,df,0,MATCH,NA
11-11-2014,1.09,1.09,t,0,MATCH,NA
11-11-2014,0.283,0.283,p,0,MATCH,NA
11-11-2014,1.34,1.34,mean,0,MATCH,NA
11-11-2014,0.45,0.45,sd,0,MATCH,NA
11-11-2014,1.27,1.27,mean,0,MATCH,NA
11-11-2014,0.37,0.37,sd,0,MATCH,NA
11-11-2014,52,52,df,0,MATCH,NA
11-11-2014,0.6,0.6,t,0,MATCH,NA
11-11-2014,0.554,0.554,p,0,MATCH,NA
11-11-2014,1.36,1.36,mean,0,MATCH,NA
11-11-2014,0.58,0.58,sd,0,MATCH,NA
11-11-2014,1.11,1.11,mean,0,MATCH,NA
11-11-2014,0.3,0.3,sd,0,MATCH,NA
11-11-2014,52,52,df,0,MATCH,NA
11-11-2014,1.97,1.97,t,0,MATCH,NA
11-11-2014,0.054,0.054,p,0,MATCH,NA
11-11-2014,2.67,2.67,mean,0,MATCH,NA
11-11-2014,0.87,0.87,sd,0,MATCH,NA
11-11-2014,2.37,2.38,mean,0.42194092827003316,MINOR_ERROR,NA
11-11-2014,0.91,0.91,sd,0,MATCH,NA
11-11-2014,52,52,df,0,MATCH,NA
11-11-2014,1.22,1.22,t,0,MATCH,NA
11-11-2014,0.227,0.227,p,0,MATCH,NA
11-11-2014,1,1,df,0,MATCH,NA
11-11-2014,52,52,df,0,MATCH,NA
11-11-2014,0.048,0.048,p,0,MATCH,NA
11-11-2014,0.54,0.55,d,1.8518518518518534,MINOR_ERROR,NA
11-11-2014,3.71,3.71,mean,0,MATCH,NA
11-11-2014,1.01,1.01,sd,0,MATCH,NA
11-11-2014,3.33,3.32,ci,0.30030030030030724,MINOR_ERROR,NA
11-11-2014,4.09,4.11,ci,0.4889975550122362,MINOR_ERROR,NA
11-11-2014,3.14,3.14,mean,0,MATCH,NA
11-11-2014,1.09,1.09,sd,0,MATCH,NA
11-11-2014,2.73,2.71,ci,0.7326007326007333,MINOR_ERROR,NA
11-11-2014,3.55,3.57,ci,0.5633802816901414,MINOR_ERROR,NA
